Ticker,Weight
ULVR LN Equity,4.670003
AZN LN Equity,4.525802
HSBA LN Equity,3.939582
DGE LN Equity,3.385767
RIO LN Equity,2.96547
GSK LN Equity,2.856952
BP/ LN Equity,2.704433
BATS LN Equity,2.684848
RDSA LN Equity,2.443785
RDSB LN Equity,2.099516
BHP LN Equity,1.980668
RKT LN Equity,1.750369
AAL LN Equity,1.737635
PRU LN Equity,1.690239
GLEN LN Equity,1.546451
LLOY LN Equity,1.516678
VOD LN Equity,1.488523
REL LN Equity,1.486791
NG/ LN Equity,1.459828
BARC LN Equity,1.389416
CRH LN Equity,1.266359
CPG LN Equity,1.265872
LSEG LN Equity,1.172132
EXPN LN Equity,1.060472
AHT LN Equity,1.016101
FERG LN Equity,0.93796
FLTR LN Equity,0.931306
SMT LN Equity,0.750314
TSCO LN Equity,0.744151
BA/ LN Equity,0.735589
LGEN LN Equity,0.7296
SSE LN Equity,0.704384
AV/ LN Equity,0.700708
BT/A LN Equity,0.677451
IMB LN Equity,0.651847
SN/ LN Equity,0.580547
STAN LN Equity,0.562429
SGRO LN Equity,0.541133
III LN Equity,0.520204
WPP LN Equity,0.519578
NWG LN Equity,0.463192
NXT LN Equity,0.45344
PSN LN Equity,0.445078
HLMA LN Equity,0.432217
ENT LN Equity,0.420055
SKG LN Equity,0.419967
CRDA LN Equity,0.409002
SPX LN Equity,0.405212
MNDI LN Equity,0.403688
IHG LN Equity,0.399096
OCDO LN Equity,0.394366
RTO LN Equity,0.385015
ITRK LN Equity,0.380481
MRO LN Equity,0.367304
BRBY LN Equity,0.366413
INF LN Equity,0.35372
ABF LN Equity,0.35296
RR/ LN Equity,0.352357
BDEV LN Equity,0.339316
IAG LN Equity,0.33371
BNZL LN Equity,0.332406
KGF LN Equity,0.330485
STJ LN Equity,0.326359
JET LN Equity,0.325986
SGE LN Equity,0.309151
UU/ LN Equity,0.297883
WTB LN Equity,0.284702
MNG LN Equity,0.279914
TW/ LN Equity,0.275823
PSON LN Equity,0.274059
HL/ LN Equity,0.273663
ADM LN Equity,0.271719
SMIN LN Equity,0.26835
POLY LN Equity,0.262361
ICP LN Equity,0.261084
DCC LN Equity,0.259716
JMAT LN Equity,0.257326
SVT LN Equity,0.255998
ABDN LN Equity,0.254549
ANTO LN Equity,0.240843
RMG LN Equity,0.235695
SMDS LN Equity,0.234142
BKG LN Equity,0.233952
AUTO LN Equity,0.229504
RMV LN Equity,0.227282
WEIR LN Equity,0.223053
BME LN Equity,0.220003
LAND LN Equity,0.219946
CCH LN Equity,0.216887
ITV LN Equity,0.212208
ECM LN Equity,0.207017
BLND LN Equity,0.205384
FCIT LN Equity,0.198472
IMI LN Equity,0.197654
HWDN LN Equity,0.19571
BWY LN Equity,0.195705
PNN LN Equity,0.195437
SBRY LN Equity,0.189448
DPH LN Equity,0.18899
JD/ LN Equity,0.187264
PSH LN Equity,0.17905
DLG LN Equity,0.177533
HIK LN Equity,0.177218
PHNX LN Equity,0.173619
SDR LN Equity,0.17277
MGGT LN Equity,0.171826
AVV LN Equity,0.171173
GAW LN Equity,0.170828
MRW LN Equity,0.170798
EVR LN Equity,0.164469
CTEC LN Equity,0.164039
TPK LN Equity,0.163894
SXS LN Equity,0.162761
WIZZ LN Equity,0.160478
UTG LN Equity,0.156413
TATE LN Equity,0.153794
DLN LN Equity,0.151799
DPLM LN Equity,0.151209
BBOX LN Equity,0.145681
HICL LN Equity,0.145163
GNS LN Equity,0.143989
EZJ LN Equity,0.14177
RCP LN Equity,0.140453
FUTR LN Equity,0.139788
CNA LN Equity,0.138939
TUI LN Equity,0.138659
IGG LN Equity,0.137485
ATST LN Equity,0.136201
MKS LN Equity,0.135006
INCH LN Equity,0.134928
MNKS LN Equity,0.134774
PCT LN Equity,0.130995
ROR LN Equity,0.129985
VTY LN Equity,0.12793
INPP LN Equity,0.120599
IWG LN Equity,0.11827
QLT LN Equity,0.118165
HAS LN Equity,0.117415
TRIG LN Equity,0.117332
CSP LN Equity,0.116616
UDG LN Equity,0.115052
HSX LN Equity,0.114298
GFTU LN Equity,0.113987
VMUK LN Equity,0.113211
UKW LN Equity,0.113088
HSV LN Equity,0.112061
AVST LN Equity,0.110914
GRG LN Equity,0.110745
EMG LN Equity,0.109896
CBG LN Equity,0.107281
BVIC LN Equity,0.106641
SSON LN Equity,0.105302
TEM LN Equity,0.105276
CCL LN Equity,0.104005
SSPG LN Equity,0.102369
WWH LN Equity,0.100027
SCT LN Equity,0.097352
MRC LN Equity,0.096177
SMWH LN Equity,0.096034
BYG LN Equity,0.092198
BBY LN Equity,0.092041
PETS LN Equity,0.090971
AGK LN Equity,0.08982
CWK LN Equity,0.089484
LMP LN Equity,0.089401
INVP LN Equity,0.088003
VCT LN Equity,0.087863
FGT LN Equity,0.087369
DOCS LN Equity,0.086904
PHP LN Equity,0.086299
QQ/ LN Equity,0.086019
JLG LN Equity,0.086007
AGR LN Equity,0.083889
SAFE LN Equity,0.083839
CCC LN Equity,0.082792
GRI LN Equity,0.082209
WTAN LN Equity,0.081932
RSW LN Equity,0.081722
PAGE LN Equity,0.081137
NETW LN Equity,0.079818
GPOR LN Equity,0.079559
3IN LN Equity,0.079338
BEZ LN Equity,0.079051
ASHM LN Equity,0.078868
SYNT LN Equity,0.078338
SEQI LN Equity,0.077722
OSB LN Equity,0.07754
DRX LN Equity,0.07603
SHB LN Equity,0.075908
DOM LN Equity,0.075268
MCRO LN Equity,0.074584
WG/ LN Equity,0.073292
FRES LN Equity,0.073084
TCAP LN Equity,0.07293
DNLM LN Equity,0.07287
CTY LN Equity,0.072805
HVPE LN Equity,0.071843
SRP LN Equity,0.07063
BOY LN Equity,0.070629
JMG LN Equity,0.069678
SVS LN Equity,0.069321
RDW LN Equity,0.06928
HMSO LN Equity,0.069172
NEX LN Equity,0.069143
WOSG LN Equity,0.068051
LRE LN Equity,0.066831
SPT LN Equity,0.065526
MYI LN Equity,0.065292
BAB LN Equity,0.065076
PLUS LN Equity,0.064728
BNKR LN Equity,0.063418
ASCL LN Equity,0.063103
FCSS LN Equity,0.063094
GYS LN Equity,0.063062
PIN LN Equity,0.062713
MSLH LN Equity,0.062586
ULE LN Equity,0.062225
MONY LN Equity,0.062198
HRI LN Equity,0.061747
GEN LN Equity,0.061042
TRY LN Equity,0.060971
AML LN Equity,0.060599
TRN LN Equity,0.060461
ASL LN Equity,0.060095
PNL LN Equity,0.059953
DC/ LN Equity,0.059861
IHP LN Equity,0.059462
PTEC LN Equity,0.059023
FXPO LN Equity,0.058931
VEIL LN Equity,0.058117
SONG LN Equity,0.057786
MDC LN Equity,0.057257
RHIM LN Equity,0.05693
HGT LN Equity,0.056009
JAM LN Equity,0.055213
PAG LN Equity,0.055038
CAPC LN Equity,0.055002
EWI LN Equity,0.054634
IEM LN Equity,0.05459
FEV LN Equity,0.05457
