Dates,IHG LN Equity,DNLM LN Equity,GRG LN Equity,TRIG LN Equity,RDSB LN Equity,INVP LN Equity,PRU LN Equity,LLOY LN Equity,SN/ LN Equity,GSK LN Equity,AZN LN Equity,SMIN LN Equity,KNOS LN Equity,FSKY LN Equity,INRG LN Equity,RTWO LN Equity,MNDI LN Equity,GLEN LN Equity,CRH LN Equity,GLRE LN Equity,BLND LN Equity,UTG LN Equity,PNN LN Equity
07/02/2020,3715,1230,1634,127.141,1246.2,160.35,1228.5,31.85,1584,1649.6,8594,1387,762,2547.25,596.75,60.62,1484.5,172.56,2859,30.41,393.1,920,1688.999
07/03/2020,3712,1219,1675,127.539,1234.4,158.75,1204,31.025,1577,1625.8,8459,1385.5,754,2543.25,597.25,59.965,1486,169.68,2865,30.16,389,914.5,1652.999
07/06/2020,3830,1234,1632,128.732,1263.8,168.35,1263,31.205,1595,1650.4,8660,1432,759,2589.75,614.25,61.055,1513,175.14,2910,30.6,402.5,934.5,1658.249
07/07/2020,3821,1209,1621,127.34,1237.6,166.1,1246.5,30.74,1578.5,1617,8537,1437.5,765,2571.75,613.25,60.76,1470,174.58,2891,29.92,388,924,1601.249
07/08/2020,3811,1175,1589,126.942,1225,166.05,1251,30.72,1536,1604.6,8579,1417,765,2552.75,620.25,59.27,1452,172.86,2840,29.54,386.2,925,1614.749
07/09/2020,3720,1162,1526,127.141,1181.2,164.7,1232.5,29.735,1520,1592.8,8480,1401,770,2572.75,611.5,58.575,1437,173.52,2804,29.135,375.3,905,1596.749
07/10/2020,3774,1193,1554,129.926,1188.8,171.55,1243.5,30.455,1517,1575,8505,1430.5,764,2589.25,614.75,59.615,1443.5,175.38,2888,29.465,378.3,939,1621.499
7/13/2020,3885,1180,1586,130.921,1217.8,175.2,1244.5,30.64,1557.5,1597.4,8568,1458.5,770,2591,629.75,60.595,1467.5,178.4,2892,29.67,381.6,936.5,1631.249
7/14/2020,3774,1146,1516,130.324,1247.6,168.2,1242,30.105,1562,1604,8549,1462,765,2460,621.5,59.395,1465,179.58,2950,29.535,377.5,929,1620.749
7/15/2020,3964,1175,1565,129.13,1259.4,174.35,1268,30.385,1660,1650.4,8996,1518.5,785,2482,640.25,62.235,1480.5,182.72,3007,29.785,373.7,931,1627.499
7/16/2020,3925,1255,1517,129.13,1254.6,176.4,1259,30.53,1602,1630,8844,1486.5,790,2444,642.25,62.085,1483,181.8,3027,29.59,368.9,925,1621.499
7/17/2020,3878,1221,1512,130.125,1240.6,174.45,1252.5,30.565,1641,1660.2,9187,1491,812,2484.5,648.75,62.305,1515,183.82,3042,29.505,372.7,948,1632.749
7/20/2020,3789,1224,1531,130.921,1217.4,171,1218,30.41,1638.5,1648.4,9320,1486,820,2550.75,659.5,61.84,1516.5,183.34,3077,29.31,369.6,934,1639.499
7/21/2020,3890,1231,1540,132.115,1251.2,170.35,1227.5,30.505,1657,1623.8,9048,1478,840,2551.75,657,63.12,1504,182.94,3047,29.69,370.9,950,1625.249
