RIC,Name,Group,Geographic Region,Country/Region,Sector,Size,Style,Variant Type,Currency,Frequency
".MIGB0CDI0PGB","MSCI United Kingdom IMI Consumer Discretionary Sector Price Index Local","International","United Kingdom",,"Consumer Discretionary","Investible (L+M+S)",,"Price Return","GBP","Real Time"
".MIGB0CSI0PGB","MSCI United Kingdom IMI Consumer Staples Sector Price Index Local","International","United Kingdom",,"Consumer Staples","Investible (L+M+S)",,"Price Return","GBP","Real Time"
".MIGB0ENI0PGB","MSCI United Kingdom IMI Energy Sector Price Index Local","International","United Kingdom",,"Energy","Investible (L+M+S)",,"Price Return","GBP","Real Time"
".MIGB0FNI0PGB","MSCI United Kingdom IMI Financials Sector Price Index Local","International","United Kingdom",,"Financials","Investible (L+M+S)",,"Price Return","GBP","Real Time"
".MIGB0HCI0PGB","MSCI United Kingdom IMI Health Care Sector Price Index Local","International","United Kingdom",,"Health Care","Investible (L+M+S)",,"Price Return","GBP","Real Time"
".MIGB0INI0PGB","MSCI United Kingdom IMI Industrials Sector Price Index Local","International","United Kingdom",,"Industrials","Investible (L+M+S)",,"Price Return","GBP","Real Time"
".MIGB0ITI0PGB","MSCI United Kingdom IMI Information Technology Sector Price Index Local","International","United Kingdom",,"Information Technology","Investible (L+M+S)",,"Price Return","GBP","Real Time"
".MIGB0MTI0PGB","MSCI United Kingdom IMI Materials Sector Price Index Local","International","United Kingdom",,"Materials","Investible (L+M+S)",,"Price Return","GBP","Real Time"
".MIGB0UTI0PGB","MSCI United Kingdom IMI Utilities Sector Price Index Local","International","United Kingdom",,"Utilities","Investible (L+M+S)",,"Price Return","GBP","Real Time"
".MIGB0TCI0PGB","MSCI United Kingdom IMI Communications Services Sector Price Index Local","International","United Kingdom",,"Communication Services","Investible (L+M+S)",,"Price Return","GBP","Real Time"
".dMIGB0REI0P","MSCI United Kingdom IMI Real Estate Industry Group Price Index Local","International","United Kingdom",,"Real Estate","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0RDI0P","MSCI United Kingdom IMI Real Estate Management & Development Industry Price Index Local","International","United Kingdom",,"Real Estate Management & Development","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0ITI0P","MSCI United Kingdom IMI Information Technology Sector Price Index Local","International","United Kingdom",,"Information Technology","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0RII0P","MSCI United Kingdom IMI Equity Real Estate Investment Trusts (Reits) Industry Price Index Local","International","United Kingdom",,"Equity Real Estate Investment Trusts (REITs)","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0FNI0P","MSCI United Kingdom IMI Financials Sector Price Index Local","International","United Kingdom",,"Financials","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0DFI0P","MSCI United Kingdom IMI Diversified Financials Industry Group Price Index Local","International","United Kingdom",,"Diversified Financials","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0MLI0P","MSCI United Kingdom IMI Materials Industry Group Price Index Local","International","United Kingdom",,"Materials","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0INI0P","MSCI United Kingdom IMI Industrials Sector Price Index Local","International","United Kingdom",,"Industrials","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0MUI0P","MSCI United Kingdom IMI Multi-Utilities Industry Price Index Local","International","United Kingdom",,"Multi-Utilities","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0CSI0P","MSCI United Kingdom IMI Consumer Staples Sector Price Index Local","International","United Kingdom",,"Consumer Staples","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0ENI0P","MSCI United Kingdom IMI Energy Sector Price Index Local","International","United Kingdom",,"Energy","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0MTI0P","MSCI United Kingdom IMI Materials Sector Price Index Local","International","United Kingdom",,"Materials","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0HLI0P","MSCI United Kingdom IMI Health Care Providers & Services Industry Price Index Local","International","United Kingdom",,"Health Care Providers & Services","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0EUI0P","MSCI United Kingdom IMI Electric Utilities Industry Price Index Local","International","United Kingdom",,"Electric Utilities","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0UTI0P","MSCI United Kingdom IMI Utilities Sector Price Index Local","International","United Kingdom",,"Utilities","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0WUI0P","MSCI United Kingdom IMI Water Utilities Industry Price Index Local","International","United Kingdom",,"Water Utilities","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0ULI0P","MSCI United Kingdom IMI Utilities Industry Group Price Index Local","International","United Kingdom",,"Utilities","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0HCI0P","MSCI United Kingdom IMI Health Care Sector Price Index Local","International","United Kingdom",,"Health Care","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0TCI0P","MSCI United Kingdom IMI Communications Services Sector Price Index Local","International","United Kingdom",,"Communication Services","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0HSI0P","MSCI United Kingdom IMI Health Care Equipment & Services Industry Group Price Index Local","International","United Kingdom",,"Health Care Equipment & Services","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0ESI0P","MSCI United Kingdom IMI Energy Equipment & Services Industry Price Index Local","International","United Kingdom",,"Energy Equipment & Services","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0EGI0P","MSCI United Kingdom IMI Energy Industry Group Price Index Local","International","United Kingdom",,"Energy","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0CDI0P","MSCI United Kingdom IMI Consumer Discretionary Sector Price Index Local","International","United Kingdom",,"Consumer Discretionary","Investible (L+M+S)",,"Price Return","GBP","Daily"
".dMIGB0HEI0P","MSCI United Kingdom IMI Health Care Equipment & Supplies Industry Price Index Local","International","United Kingdom",,"Health Care Equipment & Supplies","Investible (L+M+S)",,"Price Return","GBP","Daily"
