Date,ADN.L^H17,AZN.L,AV.L,ABX.TO,BLND.L,BT.L,CCL.L,CINE.L,CRH.L,DGE.L,DNLM.L,EZJ.L,FIS,FSKY.L,GSK.L,GLEN.L,GRG.L,HAYS.L,IHG.L,ICAG.L,IPF.L,IRV.L^C19,INVP.L,KNOS.L,LLOY.L,MNG.L,MNDI.L,NG.L,NXT.L,N91.L,PNN.L,PRU.L,RRS.L^A19,RDSa.AS,RDSb.L,SHP.L^A19,SN.L,SMIN.L,SKG.I,TSCO.L,TRIG.L,ULVR.L,UTG.L,VOD.L,WP^G19,JXN,AML.L,QQQ.O,INRG.L,NDXEX.DE,RTWO.L,PAK
2016-05-03,276.7,3911.5,432.2,23.03658835976412,719.5,448.2,3483.0,220.238971978608,1951.0,1860.5,852.6709500000001,1208.145155,71.29,,1471.5,148.4786142,1070.0,115.45892683211157,2725.451898579571,337.58707382472,260.9,310.742108,388.4038554,187.883388,65.08922035,,1239.981696,991.3358821886694,4714.713768699939,,844.0863795,1100.2036632912,6605.0,22.46,1761.5,4220.0,1170.0,1089.0,22.615,169.00292819110973,101.3783059154208,3083.5,637.5,220.55,54.06,,,105.73,353.95,37.3,45.405,55.68
2016-05-04,265.5,3832.5,433.8,22.19727845381472,715.0,439.5,3475.0,220.4475316111635,1951.0,1855.0,858.45177,1212.35472,71.05,,1451.0,143.77051395,1048.0,115.18336853418292,2733.545296942095,339.24191242190005,244.5,281.207328,382.8818943,187.634865,64.29532835,,1226.586832,985.7158366933704,4877.616695219904,,841.50980325,1087.35759415296,5830.0,21.84,1722.5,4106.0,1164.0,1080.0,22.605,159.81635838692537,100.7831299511424,3083.0,641.0,217.95,54.03,,,105.05,353.2,37.165,45.205,56.352
2016-05-05,266.4,3809.5,428.0,22.710738631572003,719.0,451.05,3435.0,221.2817701413855,1948.0,1873.0,864.714325,1212.35472,70.39,,1449.5,144.16698555,1094.0,116.28560172589758,2727.4752481702017,337.58707382472,249.5,274.589865,374.7156138,186.39225,63.590749200000005,,1239.981696,991.0348083228499,5000.741000147786,,832.749444,1085.7000368448,5785.0,22.22,1745.0,4052.0,1132.0,1090.0,23.045,159.6665773575093,100.3863459749568,3095.5,642.5,219.35,54.25,,,105.02,351.8,37.617,45.255,57.6
2016-05-06,266.5,3798.5,426.1,23.53030006914612,729.5,443.5,3452.0,220.238971978608,1971.0,1872.0,855.0796250000001,1192.1488080000001,71.25,,1440.0,144.3156624,1068.0,116.74486555577869,2713.311801035787,336.263202946976,250.0,229.382148,374.79338789999997,185.149635,64.51364865000001,,1247.635904,995.3502003995974,4986.534349579183,,825.5350305,1080.3129755932798,6165.0,22.335,1761.5,4009.0,1136.0,1083.0,23.685,159.01752623003975,100.28714998091039,3107.5,640.0,218.75,55.07,,,105.58,352.05,37.241,45.1,57.6144
2016-05-09,263.1,3944.5,426.4,22.23677539056528,737.5,440.85,3531.0,223.575926099496,2003.0,1894.0,861.3421800000001,1237.61211,71.72,,1465.0,131.38077645,1097.0,118.12265704542202,2721.217241899838,339.903847860772,246.0,216.077565,372.537939,185.895204,63.87853505000001,,1244.765576,1005.0849220610978,5043.3609518535895,,830.17286775,1078.24102895808,5940.0,21.765,1719.0,4069.0,1165.0,1083.0,23.76,156.57110274957762,100.3863459749568,3154.5,644.5,218.9,55.75,,,105.88,346.8,37.723,45.37,57.7144
2016-05-10,263.3,3928.0,427.5,22.898349081137162,737.0,441.25,3543.0,220.238971978608,2028.0,1889.5,867.123,1271.28863,73.85,,1475.0,132.7188681,1089.0,119.50044853506535,2766.5708625981683,343.21352505513204,245.0,207.788323,374.9489361,187.38634199999998,64.92051830000001,,1253.37656,1008.5974504956599,5043.3609518535895,,834.8107050000001,1085.7000368448,5890.0,22.07,1730.5,4102.0,1155.0,1093.0,23.455,159.6665773575093,100.3863459749568,3157.0,640.5,221.95,55.98,,,107.33,347.95,38.115,45.625,58.56
2016-05-11,267.3,3932.5,423.5,23.411809258894444,722.5,436.9,3610.0,217.736256387942,2017.0,1885.5,856.043095,1251.082718,73.43,,1475.0,135.64284615,1093.0,117.47968768358848,2730.2879660395033,343.21352505513204,245.6,218.097633,373.93787280000004,187.883388,65.18845685,,1290.690824,1000.4684561185306,5052.832052232657,,818.3206170000001,1083.6280902096,6095.0,22.215,1747.5,4190.0,1157.0,1097.0,23.59,159.11738024965047,100.18795398686399,3150.5,632.0,222.3,55.66,,,106.36,354.75,38.048,45.675,59.16
2016-05-12,261.5,3880.0,415.4,22.97734295463828,716.5,437.5,3634.0,220.0304123460525,2021.0,1879.0,867.123,1226.667241,71.77,,1441.0,129.9435669,1101.0,115.64263236406403,2688.965778292136,341.227718738516,243.4,215.10236,367.4048484,184.90111199999998,64.41441215,,1299.301808,1006.08850161383,4972.327699010582,,833.26475925,1056.692783952,6170.0,22.18,1736.5,4065.0,1147.0,1081.0,23.93,155.3728545142492,100.28714998091039,3139.0,630.5,222.75,55.22,,,105.89,343.05,37.627,45.055,58.56
2016-05-13,265.5,3940.0,417.7,23.55992277170904,720.0,440.15,3630.0,218.153375653053,2023.0,1894.0,884.9471950000001,1206.461329,72.31,,1453.0,129.99312585,1098.0,117.38783491761224,2655.7064564466937,336.925138385848,246.2,212.734005,374.7156138,187.137819,65.89303600000001,,1288.777272,1013.6153482593198,5067.03870280126,,830.17286775,1058.35034126016,6165.0,22.19,1732.0,4134.0,1165.0,1075.0,24.15,161.41402270069656,100.18795398686399,3165.5,640.5,224.5,54.75,,,105.5,346.55,38.282,45.34,58.674
2016-05-16,263.6,3915.0,419.2,24.103005652029243,715.0,437.85,3582.0,217.9448160204975,2031.0,1889.0,880.61158,1213.196633,72.79,,1450.0,132.4215144,1098.0,117.75524598151713,2640.5885828805835,338.24900926359203,245.6,219.00318,371.760198,189.871572,66.16097455,,1289.734048,1009.0992402720259,5067.03870280126,,825.01971525,1059.17911991424,6280.0,22.395,1750.5,4070.0,1153.0,1080.0,24.15,166.4566506910369,100.0887579928176,3163.0,644.0,223.65,54.64,,,106.82,345.45,,45.465,58.5984
